time,xacc,yacc,zacc,xgyro,ygyro,zgyro
505770067,1.1269531250,0.1206054688,-0.2788085938,-1.8320610523, 0.3511450291, -2.6412212849
505780067,1.1237792969,0.1259765625,-0.2834472656,-1.7557251453, 0.1984732896, -3.0992367268
505790067,1.1210937500,0.1267089844,-0.2824707031,-1.7099236250, 0.3206106722, -2.6717557907
505800067,1.1215820312,0.1286621094,-0.2873535156,-1.8167939186, 0.7480915785, -1.6488549709
505810067,1.1147460938,0.1315917969,-0.2924804688,-1.2977099419, 1.0992366076, -1.2824426889
505820067,1.1186523438,0.1301269531,-0.2836914062,-1.5725190639, 1.9083969593, -1.5572519302
505830067,1.1044921875,0.1271972656,-0.2968750000,-1.4961831570, 2.4427480698, -1.7404580116
505840067,1.1035156250,0.1235351562,-0.2795410156,-1.5877863169, 2.8702290058, -1.8015266657
505850067,1.1088867188,0.1274414062,-0.2922363281,-1.6946564913, 2.8244273663, -1.2366411686
505860067,1.1247558594,0.1333007812,-0.2946777344,-1.3893129826, 2.9923663139, -0.5801526904
505870067,1.1208496094,0.1276855469,-0.2883300781,-1.3282443285, 2.7328243256, -0.3053435087
505880067,1.1242675781,0.1333007812,-0.2731933594,-1.2977099419, 2.3053436279, -0.2748091519
505890067,1.1259765625,0.1225585938,-0.2651367188,-1.2977099419, 1.1297709942, -0.9923664331
505900067,1.1250000000,0.1318359375,-0.2717285156,-1.5877863169, 0.2442748100, -2.0152671337
505910067,1.1333007812,0.1247558594,-0.2724609375,-1.4351145029, 0.3816793859, -2.4580152035
505920067,1.1286621094,0.1328125000,-0.2780761719,-1.2061069012, 0.6106870174, -2.9923663139
505930067,1.1364746094,0.1347656250,-0.2736816406,-1.2824426889, 0.5801526904, -3.0839693546
505940067,1.1325683594,0.1342773438,-0.2858886719,-1.4961831570, 0.8549618125, -2.7328243256
505950067,1.1335449219,0.1374511719,-0.2941894531,-1.4045801163, 0.7022900581, -2.5190839767
505960067,1.1247558594,0.1306152344,-0.2922363281,-1.5877863169, 0.9618320465, -1.9541984797
505970067,1.1210937500,0.1274414062,-0.2851562500,-1.4198473692, 0.6717557311, -1.6183205843
505980067,1.1245117188,0.1330566406,-0.2924804688,-1.7862595320, 0.7022900581, -1.4809160233
505990067,1.1252441406,0.1276855469,-0.2915039062,-1.7862595320, 1.0229008198, -1.7404580116
506000067,1.1223144531,0.1240234375,-0.2873535156,-1.7709923983, 0.7786259651, -1.9083969593
506010067,1.1154785156,0.1220703125,-0.2932128906,-1.7251908779, 1.0076335669, -2.2290077209
506020067,1.1223144531,0.1313476562,-0.2854003906,-2.1068701744, 0.8396946788, -2.3664121628
506030067,1.1257324219,0.1315917969,-0.2885742188,-1.9083969593, 0.2748091519, -2.4274809361
506040067,1.1174316406,0.1286621094,-0.2846679688,-2.0152671337, 0.2137404531, -2.2137403488
506050067,1.1276855469,0.1330566406,-0.2814941406,-2.0152671337, -0.0763358772, -1.9389313459
506060067,1.1242675781,0.1279296875,-0.2807617188,-2.0305342674, 0.1984732896, -1.9083969593
506070067,1.1198730469,0.1308593750,-0.2929687500,-1.8473281860, 0.8244274855, -1.5114504099
506080067,1.1228027344,0.1237792969,-0.2895507812,-1.9541984797, 1.0381679535, -1.5114504099
506090067,1.1208496094,0.1235351562,-0.2780761719,-1.6946564913, 1.0076335669, -1.0839694738
506100067,1.1250000000,0.1247558594,-0.2832031250,-1.4351145029, 0.9312977195, -1.1450381279
506110067,1.1311035156,0.1315917969,-0.2780761719,-1.5419846773, 0.5954198241, -1.3587785959
506120067,1.1225585938,0.1237792969,-0.2888183594,-1.6183205843, 0.5648854971, -1.2213740349
506130067,1.1210937500,0.1296386719,-0.2727050781,-1.5725190639, 0.9618320465, -1.6641221046
506140067,1.1284179688,0.1262207031,-0.2783203125,-1.7404580116, 0.8854961991, -1.8931298256
506150067,1.1242675781,0.1320800781,-0.2751464844,-1.8320610523, 0.8244274855, -1.9389313459
506160067,1.1223144531,0.1333007812,-0.2873535156,-1.9694656134, 0.8396946788, -2.3358778954
506170067,1.1291503906,0.1298828125,-0.2932128906,-1.6641221046, 0.4122137427, -2.3511450291
506180067,1.1210937500,0.1281738281,-0.2900390625,-1.8320610523, 0.6259542108, -2.3816792965
506190067,1.1193847656,0.1262207031,-0.2792968750,-1.6946564913, 0.8091602921, -2.3053436279
506200067,1.1235351562,0.1313476562,-0.2907714844,-1.6793893576, 1.0534350872, -1.9541984797
506210067,1.1276855469,0.1308593750,-0.2841796875,-1.5725190639, 1.3740458488, -1.7557251453
506220067,1.1293945312,0.1286621094,-0.2858886719,-1.7404580116, 1.4809160233, -1.5114504099
506230067,1.1164550781,0.1203613281,-0.2888183594,-1.5572519302, 1.4351145029, -1.3129770756
506240067,1.1237792969,0.1286621094,-0.2861328125,-1.3129770756, 1.5877863169, -1.3435114622
506250067,1.1201171875,0.1291503906,-0.2856445312,-1.6335878372, 1.2824426889, -1.2213740349
506260067,1.1254882812,0.1335449219,-0.2861328125,-1.5572519302, 1.6183205843, -1.0534350872
506270067,1.1206054688,0.1369628906,-0.2912597656,-1.6488549709, 1.7404580116, -1.3282443285
506280067,1.1154785156,0.1267089844,-0.2885742188,-1.6183205843, 1.6335878372, -1.8167939186
506290067,1.1215820312,0.1354980469,-0.2861328125,-1.5725190639, 1.0687023401, -1.6641221046
