time,xacc,yacc,zacc,xgyro,ygyro,zgyro
537830067,1.1306152344,0.1247558594,-0.2714843750,-2.1068701744, 0.8702290058, -2.0916030407
537840067,1.1276855469,0.1250000000,-0.2690429688,-1.8778625727, 1.3129770756, -2.2748091221
537850067,1.1269531250,0.1313476562,-0.2775878906,-1.6335878372, 1.7709923983, -2.1221373081
537860067,1.1325683594,0.1235351562,-0.2810058594,-1.3587785959, 2.0152671337, -1.6641221046
537870067,1.1242675781,0.1279296875,-0.2807617188,-1.3129770756, 2.0916030407, -1.2824426889
537880067,1.1254882812,0.1271972656,-0.2976074219,-1.5114504099, 1.9083969593, -1.3435114622
537890067,1.1206054688,0.1281738281,-0.2844238281,-1.4809160233, 1.6946564913, -1.2213740349
537900067,1.1223144531,0.1232910156,-0.2868652344,-1.8167939186, 1.4809160233, -1.2977099419
537910067,1.1223144531,0.1237792969,-0.2712402344,-1.7709923983, 1.2824426889, -1.4045801163
537920067,1.1276855469,0.1286621094,-0.2805175781,-1.5572519302, 0.9007633328, -1.5877863169
537930067,1.1232910156,0.1289062500,-0.2800292969,-1.5267175436, 0.7633587718, -1.3740458488
537940067,1.1218261719,0.1203613281,-0.2834472656,-1.4198473692, 0.6412213445, -1.2671755552
537950067,1.1269531250,0.1276855469,-0.2770996094,-1.5725190639, 0.8244274855, -1.4045801163
537960067,1.1203613281,0.1184082031,-0.2714843750,-1.7404580116, 1.1755725145, -1.4198473692
537970067,1.1264648438,0.1247558594,-0.2714843750,-1.6488549709, 1.2366411686, -1.7251908779
537980067,1.1313476562,0.1201171875,-0.2797851562,-1.7404580116, 1.2519084215, -1.9694656134
537990067,1.1274414062,0.1220703125,-0.2756347656,-1.7099236250, 1.3129770756, -1.9083969593
538000067,1.1208496094,0.1250000000,-0.2807617188,-1.7862595320, 1.4198473692, -2.1832060814
538010067,1.1230468750,0.1262207031,-0.2883300781,-1.6030534506, 1.5419846773, -2.1984732151
538020067,1.1218261719,0.1274414062,-0.2810058594,-1.6946564913, 1.4809160233, -2.1221373081
538030067,1.1318359375,0.1289062500,-0.2834472656,-1.4809160233, 1.6335878372, -1.8167939186
538040067,1.1184082031,0.1271972656,-0.2854003906,-1.4351145029, 1.7557251453, -1.4198473692
538050067,1.1176757812,0.1352539062,-0.2746582031,-1.6488549709, 1.7709923983, -1.1297709942
538060067,1.1193847656,0.1230468750,-0.2770996094,-1.6335878372, 1.4809160233, -0.7786259651
538070067,1.1264648438,0.1279296875,-0.2790527344,-1.5419846773, 1.7099236250, -0.6412213445
538080067,1.1267089844,0.1215820312,-0.2770996094,-1.1908396482, 1.6488549709, -0.7938931584
538090067,1.1250000000,0.1257324219,-0.2766113281,-1.4809160233, 1.3129770756, -0.8396946788
538100067,1.1315917969,0.1269531250,-0.2770996094,-1.6183205843, 0.9770992398, -1.1297709942
538110067,1.1354980469,0.1235351562,-0.2751464844,-1.5725190639, 0.3664122224, -1.4656488895
538120067,1.1328125000,0.1218261719,-0.2827148438,-1.6183205843, -0.0458015278, -1.6793893576
538130067,1.1274414062,0.1198730469,-0.2805175781,-1.6183205843, 0.1984732896, -1.7251908779
538140067,1.1323242188,0.1291503906,-0.2797851562,-1.6946564913, 0.4580152631, -1.6335878372
538150067,1.1269531250,0.1247558594,-0.2795410156,-1.8625954390, 0.5343511701, -1.6641221046
538160067,1.1267089844,0.1230468750,-0.2824707031,-1.8931298256, 0.4580152631, -2.1221373081
538170067,1.1147460938,0.1230468750,-0.2792968750,-2.1374046803, 0.9618320465, -2.7938930988
538180067,1.1218261719,0.1342773438,-0.2780761719,-2.2137403488, 1.3435114622, -2.7633588314
538190067,1.1235351562,0.1293945312,-0.2822265625,-2.1832060814, 1.7099236250, -2.0000000000
538200067,1.1264648438,0.1252441406,-0.2839355469,-1.7862595320, 1.8320610523, -0.9770992398
538210067,1.1228027344,0.1250000000,-0.2888183594,-1.4961831570, 2.7633588314, -0.5801526904
538220067,1.1069335938,0.1240234375,-0.2883300781,-1.4809160233, 3.1755726337, -0.4885496199
538230067,1.1115722656,0.1130371094,-0.2822265625,-1.7404580116, 3.0992367268, -0.8549618125
538240067,1.1110839844,0.1159667969,-0.2910156250,-1.2213740349, 3.2061069012, -1.0534350872
538250067,1.1225585938,0.1208496094,-0.2788085938,-1.2977099419, 3.0687022209, -1.1145038605
538260067,1.1264648438,0.1218261719,-0.2795410156,-1.1603053808, 2.4580152035, -1.0534350872
538270067,1.1259765625,0.1218261719,-0.2744140625,-1.0534350872, 1.9541984797, -0.9923664331
538280148,1.1345214844,0.1281738281,-0.2827148438,-1.2671755552, 0.9618320465, -1.2519084215
538290067,1.1384277344,0.1281738281,-0.2678222656,-1.4198473692, 0.5038167834, -1.8625954390
538300067,1.1374511719,0.1271972656,-0.2663574219,-1.4351145029, 0.5343511701, -2.1984732151
538310067,1.1354980469,0.1342773438,-0.2753906250,-1.4961831570, 0.8854961991, -2.4885497093
538320067,1.1301269531,0.1286621094,-0.2800292969,-1.4656488895, 1.2671755552, -2.0305342674
538330067,1.1293945312,0.1325683594,-0.2775878906,-1.3740458488, 1.5419846773, -2.0152671337
538340067,1.1306152344,0.1213378906,-0.2841796875,-1.2824426889, 2.0000000000, -1.6488549709
538350067,1.1335449219,0.1274414062,-0.2883300781,-1.4351145029, 1.6641221046, -1.7099236250
538360067,1.1250000000,0.1240234375,-0.2846679688,-1.4045801163, 1.3587785959, -1.8015266657
538370067,1.1218261719,0.1196289062,-0.2893066406,-1.8778625727, 0.9312977195, -1.8015266657
538380067,1.1225585938,0.1225585938,-0.2875976562,-1.9236640930, 0.7633587718, -1.7404580116
538390067,1.1274414062,0.1218261719,-0.2866210938,-1.8473281860, 0.5190839767, -1.9847328663
